sampleid	shannon_entropy	observed_features	faith_pd	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Month_order	Rain
2177-052-K003-EMAX-SL-24-RV	7.852049271	866	80.28345197	K003	Kaudulla	M	Juvenile	4	7	76	high	33	31	July	3_July	1.700000048
2177-053-K004-EMAX-SL-24-RV	7.370321494	692	80.85584344	K004	Kaudulla	F	Adult	2	9	76	high	33	31	July	3_July	1.700000048
2177-054-K005-EMAX-SL-24-RV	7.185470576	634	63.41839912	K005	Kaudulla	F	Juvenile	3	9	76	high	33	31	July	3_July	1.700000048
2177-055-M054-EMAX-SL-24-RV	7.630458731	707	59.26173292	M054	Minneriya	F	Adult	3	24	71	high	52	76	July	3_July	1.700000048
2177-056-M055-EMAX-SL-24-RV	8.062823285	741	55.78987839	M055	Minneriya	M	Juvenile	3	15	71	high	52	76	July	3_July	1.700000048
2177-058-M056-EMAX-SL-24-RV	6.516822821	806	64.88375129	M056	Minneriya	M	Adult	4	67	29	avg	71	52	July	3_July	1.700000048
2177-059-K006-EMAX-SL-24-RV	8.174025256	939	64.21415917	K006	Kaudulla	M	Adult	4	20	27	avg	29	71	July	3_July	1.700000048
2177-060-M057-EMAX-SL-24-RV	8.547573851	976	80.8489108	M057	Minneriya	F	Adult	3	117	33	avg	56	30	July	3_July	1.700000048
2177-061-M058-EMAX-SL-24-RV	7.457853475	644	49.35192406	M058	Minneriya	F	Adult	3	23	33	avg	56	30	July	3_July	1.700000048
2177-062-M059-EMAX-SL-24-RV	7.987304498	845	63.27856158	M059	Minneriya	F	Adult	3	19	33	avg	56	30	July	3_July	1.700000048
2177-065-K007-EMAX-SL-24-RV	6.650317357	840	71.42159991	K007	Kaudulla	M	Adult	4	8	32	avg	33	56	July	3_July	1.700000048
2177-066-M060-EMAX-SL-24-RV	8.315773644	1110	76.81903113	M060	Minneriya	F	Juvenile	4	134	40	avg	32	33	August	4_August	28.90000057
2177-067-M061-EMAX-SL-24-RV	8.193619523	1045	75.68154299	M061	Minneriya	F	Juvenile	3	133	40	avg	32	33	August	4_August	28.90000057
2177-068-M062-EMAX-SL-24-RV	8.044625628	1045	74.88516319	M062	Minneriya	M	Adult	4	132	40	avg	32	33	August	4_August	28.90000057
2177-069-M063-EMAX-SL-24-RV	8.643463678	1110	67.71374316	M063	Minneriya	M	Juvenile	4	59	44	avg	40	32	August	4_August	28.90000057
2177-070-K008-EMAX-SL-24-RV	8.393426219	1038	91.74738571	K008	Kaudulla	M	Juvenile	4	13	43	avg	44	40	August	4_August	28.90000057
2177-071-K009-EMAX-SL-24-RV	8.585337987	1166	73.04979121	K009	Kaudulla	M	Adult	4	9	43	avg	44	40	August	4_August	28.90000057
2177-072-K010-EMAX-SL-24-RV	8.197369674	1033	67.41908829	K010	Kaudulla	M	Juvenile	4	142	53	avg	43	44	August	4_August	28.90000057
2177-074-M064-EMAX-SL-24-RV	8.444781343	1044	68.84592367	M064	Minneriya	M	Juvenile	4	145	61	avg	53	43	August	4_August	28.90000057
2177-075-K011-EMAX-SL-24-RV	7.718283701	918	64.37441286	K011	Kaudulla	F	Juvenile	4	40	28	avg	46	61	August	4_August	28.90000057
2177-076-M065-EMAX-SL-24-RV	8.256144868	997	104.0534113	M065	Minneriya	M	Juvenile	3	149	49	avg	79	78	August	4_August	28.90000057
2177-077-M066-EMAX-SL-24-RV	8.494859252	1106	82.44948372	M066	Minneriya	F	Juvenile	4	137	49	avg	79	78	August	4_August	28.90000057
2177-078-M067-EMAX-SL-24-RV	7.128653514	780	62.01981959	M067	Minneriya	M	Calf	3	43	49	avg	79	78	August	4_August	28.90000057
2177-079-M068-EMAX-SL-24-RV	7.959889341	876	61.05624743	M068	Minneriya	F	Adult	3	48	44	avg	49	79	August	4_August	28.90000057
2177-080-M069-EMAX-SL-24-RV	8.620151026	1125	73.534766	M069	Minneriya	F	Adult	3	48	44	avg	49	79	August	4_August	28.90000057
2177-081-M070-EMAX-SL-24-RV	7.691362134	807	88.91879371	M070	Minneriya	M	Juvenile	2	17	22	avg	38	44	August	4_August	28.90000057
2177-083-K012-EMAX-SL-24-RV	8.141094805	1074	78.23013539	K012	Kaudulla	M	Juvenile	3	22	28	avg	22	38	August	4_August	28.90000057
2177-084-M071-EMAX-SL-24-RV	8.422747912	1012	72.19607696	M071	Minneriya	M	Adult	4	45	26	avg	26	28	August	4_August	28.90000057
2177-085-K013-EMAX-SL-24-RV	8.543980811	1010	88.27351041	K013	Kaudulla	F	Juvenile	3	98	22	avg	22	38	August	4_August	28.90000057
2177-086-M072-EMAX-SL-24-RV	8.543085366	1092	70.07283637	M072	Minneriya	F	Juvenile	3	62	19	avg	22	22	August	4_August	28.90000057
2177-087-M073-EMAX-SL-24-RV	7.92823789	871	60.67309483	M073	Minneriya	F	Adult	3	60	19	avg	22	22	August	4_August	28.90000057
2177-088-M074-EMAX-SL-24-RV	7.971806539	932	67.04853701	M074	Minneriya	F	Adult	3	92	14	avg	19	23	September	5_September	23.99999988
2177-089-M075-EMAX-SL-24-RV	8.260616772	1140	82.02053291	M075	Minneriya	F	Adult	3	17	51	avg	33	22	September	5_September	23.99999988
2177-090-M076-EMAX-SL-24-RV	7.809601737	784	66.47357463	M076	Minneriya	M	Juvenile	3	29	51	avg	33	22	September	5_September	23.99999988
2177-092-M077-EMAX-SL-24-RV	8.332964446	1050	71.22702563	M077	Minneriya	F	Adult	3	27	51	avg	33	22	September	5_September	23.99999988
2177-093-M078-EMAX-SL-24-RV	8.752198688	1168	78.0668962	M078	Minneriya	F	Juvenile	3	52	51	avg	33	22	September	5_September	23.99999988
2177-094-M079-EMAX-SL-24-RV	7.837967504	875	62.12556582	M079	Minneriya	M	Juvenile	4	55	106	high	51	33	September	5_September	23.99999988
2177-095-M080-EMAX-SL-24-RV	7.952056887	920	76.60057684	M080	Minneriya	F	Adult	3	18	106	high	51	33	September	5_September	23.99999988
