sampleid	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Monthprior	Weekprior	Monthpriorcat	Weekpriorcat	Twodayprior	Twodaypriorcat	Season	Season2	Rain	Month
2177-044-M049-EMAX-SL-24-RV	M049	Minneriya	M	Adult	4	40	26	avg	37	46	July	99.83333333	119.1428571	high	high	41.5	avg	Dry	Dry	1.700000048	3
2177-045-M050-EMAX-SL-24-RV	M050	Minneriya	F	Adult	4	27	26	avg	37	46	July	99.83333333	119.1428571	high	high	41.5	avg	Dry	Dry	1.700000048	3
2177-046-M051-EMAX-SL-24-RV	M051	Minneriya	M	Juvenile	3	69	39	avg	26	37	July	98.13333333	103.7142857	high	high	31.5	avg	Dry	Dry	1.700000048	3
2177-047-M052-EMAX-SL-24-RV	M052	Minneriya	F	Juvenile	3	16	34	avg	48	39	July	96.3	64.14285714	high	high	43.5	avg	Dry	Dry	1.700000048	3
2177-049-M053-EMAX-SL-24-RV	M053	Minneriya	F	Juvenile	4	13	34	avg	48	39	July	96.3	64.14285714	high	high	43.5	avg	Dry	Dry	1.700000048	3
2177-050-K001-EMAX-SL-24-RV	K001	Kaudulla	F	Adult	3	21	33	avg	31	54	July	79.8	36.42857143	high	avg	42.5	avg	Dry	Dry	1.700000048	3
2177-051-K002-EMAX-SL-24-RV	K002	Kaudulla	F	Adult	2	17	33	avg	31	54	July	79.8	36.42857143	high	avg	42.5	avg	Dry	Dry	1.700000048	3
2177-052-K003-EMAX-SL-24-RV	K003	Kaudulla	M	Juvenile	4	7	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-053-K004-EMAX-SL-24-RV	K004	Kaudulla	F	Adult	2	9	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-054-K005-EMAX-SL-24-RV	K005	Kaudulla	F	Juvenile	3	9	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-055-M054-EMAX-SL-24-RV	M054	Minneriya	F	Adult	3	24	71	high	52	76	July	77.8	48.42857143	high	avg	64	high	Dry	Dry	1.700000048	3
2177-056-M055-EMAX-SL-24-RV	M055	Minneriya	M	Juvenile	3	15	71	high	52	76	July	77.8	48.42857143	high	avg	64	high	Dry	Dry	1.700000048	3
2177-058-M056-EMAX-SL-24-RV	M056	Minneriya	M	Adult	4	67	29	avg	71	52	July	76.73333333	52.14285714	high	avg	61.5	avg	Dry	Dry	1.700000048	3
2177-059-K006-EMAX-SL-24-RV	K006	Kaudulla	M	Adult	4	20	27	avg	29	71	July	72.06666667	49.42857143	high	avg	50	avg	Dry	Dry	1.700000048	3
2177-060-M057-EMAX-SL-24-RV	M057	Minneriya	F	Adult	3	117	33	avg	56	30	July	58.76666667	42.28571429	avg	avg	43	avg	Dry	Dry	1.700000048	3
2177-061-M058-EMAX-SL-24-RV	M058	Minneriya	F	Adult	3	23	33	avg	56	30	July	58.76666667	42.28571429	avg	avg	43	avg	Dry	Dry	1.700000048	3
2177-062-M059-EMAX-SL-24-RV	M059	Minneriya	F	Adult	3	19	33	avg	56	30	July	58.76666667	42.28571429	avg	avg	43	avg	Dry	Dry	1.700000048	3
2177-065-K007-EMAX-SL-24-RV	K007	Kaudulla	M	Adult	4	8	32	avg	33	56	July	55.4	36.85714286	avg	avg	44.5	avg	Dry	Dry	1.700000048	3
2177-066-M060-EMAX-SL-24-RV	M060	Minneriya	F	Juvenile	4	134	40	avg	32	33	August	50.7	37.28571429	avg	avg	32.5	avg	Dry	Intermediate	28.90000057	4
2177-067-M061-EMAX-SL-24-RV	M061	Minneriya	F	Juvenile	3	133	40	avg	32	33	August	50.7	37.28571429	avg	avg	32.5	avg	Dry	Intermediate	28.90000057	4
2177-068-M062-EMAX-SL-24-RV	M062	Minneriya	M	Adult	4	132	40	avg	32	33	August	50.7	37.28571429	avg	avg	32.5	avg	Dry	Intermediate	28.90000057	4
2177-069-M063-EMAX-SL-24-RV	M063	Minneriya	M	Juvenile	4	59	44	avg	40	32	August	45.66666667	39.14285714	avg	avg	36	avg	Dry	Intermediate	28.90000057	4
2177-070-K008-EMAX-SL-24-RV	K008	Kaudulla	M	Juvenile	4	13	43	avg	44	40	August	41.56666667	39.85714286	avg	avg	42	avg	Dry	Intermediate	28.90000057	4
2177-071-K009-EMAX-SL-24-RV	K009	Kaudulla	M	Adult	4	9	43	avg	44	40	August	41.56666667	39.85714286	avg	avg	42	avg	Dry	Intermediate	28.90000057	4
2177-072-K010-EMAX-SL-24-RV	K010	Kaudulla	M	Juvenile	4	142	53	avg	43	44	August	40.13333333	39.71428571	avg	avg	43.5	avg	Dry	Intermediate	28.90000057	4
2177-074-M064-EMAX-SL-24-RV	M064	Minneriya	M	Juvenile	4	145	61	avg	53	43	August	40.36666667	43	avg	avg	48	avg	Dry	Intermediate	28.90000057	4
2177-075-K011-EMAX-SL-24-RV	K011	Kaudulla	F	Juvenile	4	40	28	avg	46	61	August	41.83333333	45.57142857	avg	avg	53.5	avg	Dry	Intermediate	28.90000057	4
2177-076-M065-EMAX-SL-24-RV	M065	Minneriya	M	Juvenile	3	149	49	avg	79	78	August	46.6	56.85714286	avg	avg	78.5	high	Dry	Intermediate	28.90000057	4
2177-077-M066-EMAX-SL-24-RV	M066	Minneriya	F	Juvenile	4	137	49	avg	79	78	August	46.6	56.85714286	avg	avg	78.5	high	Dry	Intermediate	28.90000057	4
2177-078-M067-EMAX-SL-24-RV	M067	Minneriya	M	Calf	3	43	49	avg	79	78	August	46.6	56.85714286	avg	avg	78.5	high	Dry	Intermediate	28.90000057	4
2177-079-M068-EMAX-SL-24-RV	M068	Minneriya	F	Adult	3	48	44	avg	49	79	August	47.53333333	57.28571429	avg	avg	64	high	Dry	Intermediate	28.90000057	4
2177-080-M069-EMAX-SL-24-RV	M069	Minneriya	F	Adult	3	48	44	avg	49	79	August	47.53333333	57.28571429	avg	avg	64	high	Dry	Intermediate	28.90000057	4
2177-081-M070-EMAX-SL-24-RV	M070	Minneriya	M	Juvenile	2	17	22	avg	38	44	August	47.5	59	avg	avg	41	avg	Dry	Intermediate	28.90000057	4
2177-083-K012-EMAX-SL-24-RV	K012	Kaudulla	M	Juvenile	3	22	28	avg	22	38	August	46.63333333	54.85714286	avg	avg	30	avg	Dry	Intermediate	28.90000057	4
2177-084-M071-EMAX-SL-24-RV	M071	Minneriya	M	Adult	4	45	26	avg	26	28	August	45.6	40.85714286	avg	avg	27	avg	Dry	Intermediate	28.90000057	4
2177-085-K013-EMAX-SL-24-RV	K013	Kaudulla	F	Juvenile	3	98	22	avg	22	38	August	39.9	26.57142857	avg	avg	30	avg	Dry	Intermediate	28.90000057	4
2177-086-M072-EMAX-SL-24-RV	M072	Minneriya	F	Juvenile	3	62	19	avg	22	22	August	38.76666667	27.14285714	avg	avg	22	avg	Dry	Intermediate	28.90000057	4
2177-087-M073-EMAX-SL-24-RV	M073	Minneriya	F	Adult	3	60	19	avg	22	22	August	38.76666667	27.14285714	avg	avg	22	avg	Dry	Intermediate	28.90000057	4
2177-088-M074-EMAX-SL-24-RV	M074	Minneriya	F	Adult	3	92	14	avg	19	23	September	37.3	23.71428571	avg	avg	21	avg	Dry	Intermediate	23.99999988	5
2177-089-M075-EMAX-SL-24-RV	M075	Minneriya	F	Adult	3	17	51	avg	33	22	September	34.93333333	21.71428571	avg	avg	27.5	avg	Dry	Intermediate	23.99999988	5
2177-090-M076-EMAX-SL-24-RV	M076	Minneriya	M	Juvenile	3	29	51	avg	33	22	September	34.93333333	21.71428571	avg	avg	27.5	avg	Dry	Intermediate	23.99999988	5
